name,class,gender,dateOfBirth,address,parentName,parentPhone,parentEmail
Ngozi Bello,JSS 3 Gold,M,2012-02-19,"98 Okpara St, Ibadan, Oyo",Mr/Mrs Bello,+2348083115005,ngozi.28@gmail.com
Grace Adebanjo,JSS 3 Gold,M,2014-04-17,"94 Hospital Rd, Owerri, Imo",Mr/Mrs Adebanjo,+2348018976735,grace.29@gmail.com
Uche Osagie,JSS 3 Gold,F,2007-03-11,"91 Hospital Rd, Uyo, Akwa Ibom",Mr/Mrs Osagie,+2348033936677,uche.30@gmail.com
Blessing Mohammed,JSS 3 Gold,M,2013-08-24,"41 Broad Street, Port Harcourt, Rivers",Mr/Mrs Mohammed,+2348079156818,blessing.31@gmail.com
Josephine Nwosu,JSS 3 Gold,M,2010-08-26,"86 Murtala Muhammed Way, Abeokuta, Ogun",Mr/Mrs Nwosu,+2348099496800,josephine.32@gmail.com
Queen Oyelaran,JSS 3 Gold,F,2013-10-20,"64 Ikorodu Rd, Surulere, Lagos",Mr/Mrs Oyelaran,+2348037473440,queen.33@gmail.com
Uche Ibrahim,JSS 3 Gold,M,2012-01-05,"118 Adeniran Ogunsanya St, Ilorin, Kwara",Mr/Mrs Ibrahim,+2348048635888,uche.34@gmail.com
Nkechi Okonkwo,JSS 3 Gold,M,2008-10-14,"63 Agodi Rd, Ikeja, Lagos",Mr/Mrs Okonkwo,+2348028682618,nkechi.35@gmail.com
Farouk Durojaiye,JSS 3 Gold,M,2009-12-05,"60 Broad Street, Surulere, Lagos",Mr/Mrs Durojaiye,+2348081312103,farouk.36@gmail.com
Mariam Akinwunmi,JSS 3 Gold,M,2008-04-19,"55 Ikorodu Rd, Ikeja, Lagos",Mr/Mrs Akinwunmi,+2348037440736,mariam.37@gmail.com
Kunle Oyelude,JSS 3 Gold,F,2014-08-18,"64 Ambrose Alli Rd, Uyo, Akwa Ibom",Mr/Mrs Oyelude,+2348079730857,kunle.38@gmail.com
Kehinde Oladipo,JSS 3 Gold,F,2008-12-04,"85 New Owerri Rd, Uyo, Akwa Ibom",Mr/Mrs Oladipo,+2348077712407,kehinde.39@gmail.com
Latifat Eze,JSS 3 Gold,F,2009-01-12,"98 Abak Rd, Ilorin, Kwara",Mr/Mrs Eze,+2348015872089,latifat.40@gmail.com
Joy Umeh,JSS 3 Gold,F,2008-02-12,"46 Broad Street, Benin City, Edo",Mr/Mrs Umeh,+2348043787085,joy.41@gmail.com
Emeka Okoye,JSS 3 Gold,F,2013-07-07,"6 Agodi Rd, Enugu, Enugu",Mr/Mrs Okoye,+2348066589059,emeka.42@gmail.com
Ikenna Okafor,JSS 3 Gold,M,2013-10-17,"56 Broad Street, Enugu, Enugu",Mr/Mrs Okafor,+2348080140749,ikenna.43@gmail.com
Latifat Adeleke,JSS 3 Gold,F,2013-10-07,"94 Ikorodu Rd, Owerri, Imo",Mr/Mrs Adeleke,+2348037418600,latifat.44@gmail.com
Obinna Musa,JSS 3 Gold,F,2010-04-08,"101 Agodi Rd, Port Harcourt, Rivers",Mr/Mrs Musa,+2348039314300,obinna.45@gmail.com
Victoria Lawal,JSS 3 Gold,M,2013-07-26,"19 Murtala Muhammed Way, Enugu, Enugu",Mr/Mrs Lawal,+2348042954337,victoria.46@gmail.com
Chidera Ajayi,JSS 3 Gold,M,2007-12-21,"15 Agodi Rd, Abuja, FCT",Mr/Mrs Ajayi,+2348095127628,chidera.47@gmail.com
Uche Sowunmi,JSS 3 Gold,F,2013-05-03,"42 Ikorodu Rd, Uyo, Akwa Ibom",Mr/Mrs Sowunmi,+2348053945418,uche.48@gmail.com
Musa Durojaiye,JSS 3 Gold,F,2007-11-01,"23 Ikorodu Rd, Abeokuta, Ogun",Mr/Mrs Durojaiye,+2348040125963,musa.49@gmail.com
Bola Okafor,JSS 3 Gold,F,2010-04-22,"4 Ikorodu Rd, Kano, Kano",Mr/Mrs Okafor,+2348065881382,bola.50@gmail.com
Fatima Sowunmi,SS 1 Diamond,F,2007-11-25,"100 Abak Rd, Kano, Kano",Mr/Mrs Sowunmi,+2348051669509,fatima.51@gmail.com
Ifeoma Adeyemi,SS 2 Gold,F,2014-11-20,"23 Broad Street, Benin City, Edo",Mr/Mrs Adeyemi,+2348071844641,ifeoma.52@gmail.com
Folake Adeboye,JSS 2 Diamond,M,2007-01-01,"51 Okpara St, Benin City, Edo",Mr/Mrs Adeboye,+2348088106674,folake.53@gmail.com
Precious Adeboye,SS 1 Diamond,M,2012-02-12,"26 Okpara St, Owerri, Imo",Mr/Mrs Adeboye,+2348021305354,precious.54@gmail.com
Rotimi Yakubu,SS 2 Gold,M,2014-10-20,"30 Hospital Rd, Uyo, Akwa Ibom",Mr/Mrs Yakubu,+2348058019725,rotimi.55@gmail.com
Kunle Ogunbiyi,JSS 3 Silver,M,2014-07-10,"92 Okpara St, Enugu, Enugu",Mr/Mrs Ogunbiyi,+2348011453454,kunle.56@gmail.com
Chidera Oyelude,JSS 3 Silver,F,2011-07-12,"106 Broad Street, Port Harcourt, Rivers",Mr/Mrs Oyelude,+2348061274210,chidera.57@gmail.com
Bola Adeniyi,SS 3 Gold,M,2014-10-15,"14 Abak Rd, Ibadan, Oyo",Mr/Mrs Adeniyi,+2348026763697,bola.58@gmail.com
Damilola Igwe,JSS 3 Silver,F,2009-03-07,"80 New Owerri Rd, Abeokuta, Ogun",Mr/Mrs Igwe,+2348040684319,damilola.59@gmail.com
Uche Mohammed,JSS 2 Gold,F,2007-11-18,"84 Murtala Muhammed Way, Uyo, Akwa Ibom",Mr/Mrs Mohammed,+2348087254709,uche.60@gmail.com
Hassan Olawale,SS 2 Silver,M,2010-02-26,"86 New Owerri Rd, Uyo, Akwa Ibom",Mr/Mrs Olawale,+2348092972043,hassan.61@gmail.com
Babatunde Ugwu,SS 2 Silver,F,2014-10-13,"93 Murtala Muhammed Way, Abeokuta, Ogun",Mr/Mrs Ugwu,+2348075261645,babatunde.62@gmail.com
Funmilayo Ogunleye,JSS 1 Diamond,F,2010-10-08,"78 Agodi Rd, Benin City, Edo",Mr/Mrs Ogunleye,+2348068857474,funmilayo.63@gmail.com
Bola Nwosu,SS 1 Silver,F,2013-05-18,"70 Okpara St, Abeokuta, Ogun",Mr/Mrs Nwosu,+2348070307371,bola.64@gmail.com
Umar Ugwu,JSS 3 Diamond,M,2007-04-15,"120 Murtala Muhammed Way, Ibadan, Oyo",Mr/Mrs Ugwu,+2348097539718,umar.65@gmail.com
Tunde Ajayi,SS 2 Silver,F,2014-06-17,"35 New Owerri Rd, Abeokuta, Ogun",Mr/Mrs Ajayi,+2348019019128,tunde.66@gmail.com
Adaeze Oyelude,SS 2 Gold,F,2012-07-18,"25 Agodi Rd, Surulere, Lagos",Mr/Mrs Oyelude,+2348031661534,adaeze.67@gmail.com
Zara Akinwunmi,JSS 3 Silver,F,2014-08-10,"90 Abak Rd, Port Harcourt, Rivers",Mr/Mrs Akinwunmi,+2348023977694,zara.68@gmail.com
Joy Oyelaran,JSS 1 Gold,F,2011-12-01,"107 Hospital Rd, Ibadan, Oyo",Mr/Mrs Oyelaran,+2348041351235,joy.69@gmail.com
Chinedu Ibrahim,JSS 3 Diamond,M,2014-12-23,"90 Hospital Rd, Benin City, Edo",Mr/Mrs Ibrahim,+2348089507558,chinedu.70@gmail.com
Yetunde Balogun,SS 1 Diamond,F,2013-11-23,"102 Agodi Rd, Uyo, Akwa Ibom",Mr/Mrs Balogun,+2348034043093,yetunde.71@gmail.com
Rukayat Bello,JSS 2 Silver,F,2008-11-26,"37 Broad Street, Uyo, Akwa Ibom",Mr/Mrs Bello,+2348065977694,rukayat.72@gmail.com
Precious Adeniyi,JSS 2 Silver,F,2011-12-01,"39 Ikorodu Rd, Benin City, Edo",Mr/Mrs Adeniyi,+2348072595420,precious.73@gmail.com
Fatima Musa,JSS 1 Gold,F,2012-12-26,"68 Ambrose Alli Rd, Surulere, Lagos",Mr/Mrs Musa,+2348038117868,fatima.74@gmail.com
Chioma Salami,JSS 3 Diamond,M,2008-01-07,"26 Hospital Rd, Abuja, FCT",Mr/Mrs Salami,+2348099110030,chioma.75@gmail.com
Adaeze Musa,JSS 2 Gold,F,2009-04-19,"11 Agodi Rd, Abuja, FCT",Mr/Mrs Musa,+2348085312418,adaeze.76@gmail.com
Adeola Eze,JSS 1 Diamond,M,2012-08-13,"118 Agodi Rd, Ikeja, Lagos",Mr/Mrs Eze,+2348085792195,adeola.77@gmail.com
Efe Ajayi,SS 3 Diamond,M,2009-05-20,"120 Abak Rd, Abuja, FCT",Mr/Mrs Ajayi,+2348077878948,efe.78@gmail.com
Adeola Adeleke,JSS 2 Diamond,M,2009-06-09,"105 Ambrose Alli Rd, Uyo, Akwa Ibom",Mr/Mrs Adeleke,+2348019575430,adeola.79@gmail.com
Umar Okonkwo,SS 3 Silver,F,2014-09-04,"21 Murtala Muhammed Way, Surulere, Lagos",Mr/Mrs Okonkwo,+2348024343820,umar.80@gmail.com
Esther Adeyemi,SS 1 Diamond,M,2007-08-18,"31 Broad Street, Kano, Kano",Mr/Mrs Adeyemi,+2348044476801,esther.81@gmail.com
Nnamdi Olawale,JSS 1 Diamond,M,2008-12-11,"25 Abak Rd, Enugu, Enugu",Mr/Mrs Olawale,+2348028024368,nnamdi.82@gmail.com
Halima Olawumi,SS 2 Diamond,F,2009-08-22,"80 Ikorodu Rd, Uyo, Akwa Ibom",Mr/Mrs Olawumi,+2348091363751,halima.83@gmail.com
Aisha Fashola,SS 2 Diamond,F,2012-12-20,"39 New Owerri Rd, Uyo, Akwa Ibom",Mr/Mrs Fashola,+2348020304478,aisha.84@gmail.com
Adaeze Afolabi,SS 1 Gold,F,2012-07-14,"80 New Owerri Rd, Abuja, FCT",Mr/Mrs Afolabi,+2348087017695,adaeze.85@gmail.com
Umar Ojo,JSS 2 Gold,F,2013-12-26,"47 Okpara St, Owerri, Imo",Mr/Mrs Ojo,+2348068234859,umar.86@gmail.com
Zainab Olawumi,JSS 3 Silver,F,2013-03-02,"9 New Owerri Rd, Abeokuta, Ogun",Mr/Mrs Olawumi,+2348015296404,zainab.87@gmail.com
Farouk Nwachukwu,SS 3 Silver,M,2012-03-03,"113 Ambrose Alli Rd, Surulere, Lagos",Mr/Mrs Nwachukwu,+2348044186314,farouk.88@gmail.com
Efe Sowunmi,SS 2 Gold,F,2012-10-15,"19 Ikorodu Rd, Ikeja, Lagos",Mr/Mrs Sowunmi,+2348058649175,efe.89@gmail.com
Zara Fashola,JSS 1 Diamond,M,2007-04-06,"33 Ikorodu Rd, Owerri, Imo",Mr/Mrs Fashola,+2348088681811,zara.90@gmail.com
Uche Adeoti,SS 3 Gold,M,2011-11-05,"9 Adeniran Ogunsanya St, Port Harcourt, Rivers",Mr/Mrs Adeoti,+2348031332909,uche.91@gmail.com
Victoria Afolabi,JSS 3 Silver,F,2011-07-19,"47 Hospital Rd, Ikeja, Lagos",Mr/Mrs Afolabi,+2348042168128,victoria.92@gmail.com
Victoria Ajayi,JSS 1 Silver,M,2012-01-07,"20 Okpara St, Uyo, Akwa Ibom",Mr/Mrs Ajayi,+2348069778143,victoria.93@gmail.com
Aisha Oyelaran,SS 3 Diamond,F,2013-07-21,"78 Murtala Muhammed Way, Ibadan, Oyo",Mr/Mrs Oyelaran,+2348063562096,aisha.94@gmail.com
Esther Umeh,JSS 2 Silver,M,2014-10-24,"118 Adeniran Ogunsanya St, Owerri, Imo",Mr/Mrs Umeh,+2348036542341,esther.95@gmail.com
Olamide Fashola,SS 2 Gold,F,2013-01-08,"51 Murtala Muhammed Way, Ibadan, Oyo",Mr/Mrs Fashola,+2348051777052,olamide.96@gmail.com
Bola Yakubu,JSS 3 Silver,F,2014-07-25,"80 Adeniran Ogunsanya St, Ikeja, Lagos",Mr/Mrs Yakubu,+2348024881562,bola.97@gmail.com
David Adeleke,JSS 3 Diamond,F,2008-04-24,"93 Okpara St, Owerri, Imo",Mr/Mrs Adeleke,+2348088621656,david.98@gmail.com
Bola Olawumi,JSS 2 Silver,M,2014-08-05,"21 Hospital Rd, Owerri, Imo",Mr/Mrs Olawumi,+2348031218057,bola.99@gmail.com
Olamide Afolabi,SS 1 Diamond,M,2007-10-15,"98 Ikorodu Rd, Ibadan, Oyo",Mr/Mrs Afolabi,+2348065122699,olamide.100@gmail.com
